Date,Open,High,Low,Close,Adj Close,Volume
2001-06-07,12150.000000,12250.000000,12100.000000,12100.000000,6773.516602,744000
2001-06-08,12150.000000,12150.000000,12050.000000,12050.000000,6745.527344,482000
2001-06-11,12100.000000,12250.000000,12100.000000,12200.000000,6829.496582,1006000
2001-06-12,12250.000000,13000.000000,12200.000000,12950.000000,7249.342285,7133500
2001-06-13,13100.000000,13150.000000,12650.000000,12650.000000,7081.405273,4351000
2001-06-14,12650.000000,12900.000000,12550.000000,12750.000000,7137.384277,1989000
2001-06-15,12750.000000,12800.000000,12450.000000,12500.000000,6997.435059,2547500
2001-06-18,12500.000000,12700.000000,12350.000000,12700.000000,7109.394531,1525500
2001-06-19,12700.000000,12950.000000,12650.000000,12800.000000,7165.372559,2983500
2001-06-20,12800.000000,12950.000000,12700.000000,12850.000000,7193.364258,2287500
2001-06-21,12900.000000,12950.000000,12700.000000,12950.000000,7249.342285,3742000
2001-06-22,13000.000000,13650.000000,13000.000000,13650.000000,7641.198730,10027500
2001-06-25,13650.000000,13800.000000,13450.000000,13450.000000,7529.240723,3452500
2001-06-26,13450.000000,13700.000000,13450.000000,13500.000000,7557.228516,2073500
2001-06-27,13500.000000,13600.000000,13300.000000,13450.000000,7529.240723,1659000
2001-06-28,13400.000000,13400.000000,12750.000000,12900.000000,7221.352539,3771000
2001-06-29,12950.000000,13200.000000,12750.000000,13200.000000,7389.291016,3796500
2001-07-02,13200.000000,13200.000000,12900.000000,13000.000000,7277.332520,500000
2001-07-03,12950.000000,13050.000000,12750.000000,12800.000000,7165.372559,1179500
2001-07-04,12850.000000,12850.000000,12750.000000,12850.000000,7193.364258,506000
2001-07-05,12850.000000,13100.000000,12850.000000,13000.000000,7277.332520,1326000
2001-07-06,12950.000000,13000.000000,12950.000000,13000.000000,7277.332520,116500
2001-07-09,12950.000000,13150.000000,12950.000000,13050.000000,7305.323242,1175000
2001-07-10,13050.000000,13150.000000,12950.000000,13000.000000,7277.332520,611000
2001-07-11,13000.000000,13200.000000,13000.000000,13150.000000,7361.301758,857000
2001-07-12,13150.000000,13150.000000,12900.000000,12950.000000,7249.342285,1454500
2001-07-13,13000.000000,13150.000000,13000.000000,13050.000000,7305.323242,1127000
2001-07-16,13100.000000,13250.000000,12950.000000,13000.000000,7277.332520,972000
2001-07-17,13000.000000,13100.000000,12900.000000,13050.000000,7305.323242,634500
2001-07-18,13100.000000,13150.000000,13050.000000,13150.000000,7361.301758,1653500
2001-07-19,13200.000000,13500.000000,13200.000000,13350.000000,7473.261230,3536000
2001-07-20,13500.000000,13550.000000,13200.000000,13400.000000,7501.250977,2986000
2001-07-23,13750.000000,14100.000000,13550.000000,13650.000000,7641.198730,7208000
2001-07-24,13750.000000,13800.000000,13150.000000,13200.000000,7389.291016,4650000
2001-07-25,13200.000000,13200.000000,12750.000000,12900.000000,7221.352539,2972000
2001-07-26,12900.000000,13200.000000,12800.000000,12850.000000,7193.364258,1386000
2001-07-27,12850.000000,12950.000000,12800.000000,12900.000000,7221.352539,397500
2001-07-30,12900.000000,13100.000000,12900.000000,12950.000000,7249.342285,827000
2001-07-31,12950.000000,13000.000000,12500.000000,12550.000000,7025.424316,1875000
2001-08-01,12550.000000,12650.000000,12500.000000,12550.000000,7025.424316,934500
2001-08-02,12550.000000,12650.000000,12350.000000,12400.000000,6941.455566,779500
2001-08-03,12400.000000,12400.000000,12250.000000,12350.000000,6913.466309,529000
2001-08-06,12300.000000,12350.000000,12200.000000,12250.000000,6857.486816,336500
2001-08-07,12300.000000,12450.000000,12050.000000,12200.000000,6829.496582,2302000
2001-08-08,12250.000000,12500.000000,12250.000000,12400.000000,6941.455566,1344000
2001-08-09,12600.000000,12600.000000,12000.000000,12050.000000,6745.527344,3566000
2001-08-10,12100.000000,12400.000000,12100.000000,12250.000000,6857.486816,1090000
2001-08-13,12250.000000,12400.000000,12250.000000,12300.000000,6885.475586,918000
2001-08-14,12350.000000,12400.000000,12150.000000,12200.000000,6829.496582,1068000
2001-08-15,12200.000000,12200.000000,11850.000000,11850.000000,6633.567871,2168000
2001-08-16,11850.000000,11850.000000,11600.000000,11650.000000,6521.608887,2577500
2001-08-17,11650.000000,11650.000000,11650.000000,11650.000000,6521.608887,0
2001-08-20,11650.000000,12200.000000,11650.000000,12000.000000,6717.538574,2578000
2001-08-21,12200.000000,12200.000000,11750.000000,11800.000000,6605.579102,1450500
2001-08-22,11950.000000,12000.000000,11900.000000,11950.000000,6689.549316,532500
2001-08-23,11950.000000,12050.000000,11850.000000,11950.000000,6689.549316,632500
2001-08-24,11950.000000,12100.000000,11950.000000,12050.000000,6745.527344,1191500
2001-08-27,12150.000000,12250.000000,12000.000000,12250.000000,6857.486816,2754000
2001-08-28,12250.000000,12700.000000,12200.000000,12650.000000,7081.405273,5851500
2001-08-29,12550.000000,12600.000000,12400.000000,12400.000000,6941.455566,1953500
2001-08-30,12400.000000,12400.000000,11950.000000,11950.000000,6689.549316,1897500
2001-08-31,11950.000000,12200.000000,11950.000000,12200.000000,6829.496582,1092500
2001-09-03,12200.000000,12350.000000,12100.000000,12250.000000,6857.486816,806000
2001-09-04,12300.000000,12350.000000,12100.000000,12200.000000,6829.496582,1081000
2001-09-05,12200.000000,12500.000000,12050.000000,12150.000000,6801.507324,1806500
2001-09-06,12200.000000,12450.000000,12150.000000,12400.000000,6941.455566,1823500
